REF MADRE;EAN PRODUCT;NOMBRE (SIN TALLA);MARCA;PVP +IVA;ID IVA;PRODUCT CATEGORIA;CATEGORIAS;CARACTERISTICAS;GAMA;FILTROS;PRODUCT;META-DESCRIPCION;URL IMGs;DESCRIPCION LARGA;ANCHURA;ALTURA;PROFUNDIDAD;PESO;ID DISPONIBILIDAD;ACTIVO;DISP. PEDIDOS;TEMPORADA;TALLAS;GENERO;EDAD;COLOR;REF COMBI;EAN COMBI;NOMBRE COMBI:TIPO;;REF;NOMBRE;PROVEEDOR;FAMILIA;SUBFAMILIA;P.COMPRA;PVP (+IVA);EAN;ALT 1;ALT 2;ALT 3;UNIDAD;LOTE;PESO;CODNC;LIBRE1=MARCA;LIBRE2=TEMPORADA;LIBRE3=PRODUCTO;LIBRE4=GAMA/MODELO
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;P4C0475199005C;KIT PISTONES PARTE SUPERIOR: PISTÓN FUNDIDO ATHENA 2 TIEMPOS Ø 47,47 MM + KIT JUNTAS PARTE SUPERIOR YZ 85 2019-2024;622;ATEN;KP+JA;53,89092893;133,0776;8053300717910;;;;1;0;1;87141010;ATHENA;;KITS PISTÓN;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;P4C0485065003A;KIT PISTONES PARTE SUPERIOR: PISTÓN FUNDIDO ATHENA 2 TIEMPOS Ø 48,44 MM + KIT JUNTAS PARTE SUPERIOR KX 85 2014-2021;622;ATEN;KP+JA;53,89092893;133,0776;8053300717927;;;;1;0;1;87141010;ATHENA;;KITS PISTÓN;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;P4C0485065003B;KIT PISTONES PARTE SUPERIOR: PISTÓN FUNDIDO ATHENA 2 TIEMPOS Ø 48,45 MM + KIT JUNTAS PARTE SUPERIOR KX 85 2014-2021;622;ATEN;KP+JA;53,89092893;133,0776;8053300717934;;;;1;0;1;87141010;ATHENA;;KITS PISTÓN;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;P4C0485065003C;KIT PISTONES PARTE SUPERIOR: PISTÓN FUNDIDO ATHENA 2 TIEMPOS Ø 48,46 MM + KIT JUNTAS PARTE SUPERIOR KX 85 2014-2021;622;ATEN;KP+JA;66,27675207;163,663;8053300717620;;;;1;0;1;87141010;ATHENA;;KITS PISTÓN;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;P4C0540023020A;KIT PISTONES PARTE SUPERIOR: PISTÓN FUNDIDO ATHENA 2 TIEMPOS Ø 53,94 MM + KIT JUNTAS PARTE SUPERIOR TC 125 2014-2015;622;ATEN;KP+JA;66,27675207;163,663;8053300717637;;;;1;0;1;87141010;ATHENA;;KITS PISTÓN;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;P4C0540023020B;KIT PISTONES PARTE SUPERIOR: PISTÓN FUNDIDO ATHENA 2 TIEMPOS Ø 53,94 MM + KIT JUNTAS PARTE SUPERIOR TC 125 2014-2015;622;ATEN;KP+JA;66,27675207;163,663;8053300717644;;;;1;0;1;87141010;ATHENA;;KITS PISTÓN;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;P4C0540023020C;KIT PISTONES PARTE SUPERIOR: PISTÓN FUNDIDO ATHENA 2 TIEMPOS Ø 53,94 MM + KIT JUNTAS PARTE SUPERIOR TC 125 2014-2015;622;ATEN;KP+JA;66,27675207;163,663;8053300717651;;;;1;0;1;87141010;ATHENA;;KITS PISTÓN;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;P4C0540023020D;KIT PISTONES PARTE SUPERIOR: PISTÓN FUNDIDO ATHENA 2 TIEMPOS Ø 53,94 MM + KIT JUNTAS PARTE SUPERIOR TC 125 2014-2015;622;ATEN;KP+JA;71,33087934;176,1436;8053300717583;;;;1;0;1;87141010;ATHENA;;KITS PISTÓN;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;P4C0540077020A;KIT PISTONES PARTE SUPERIOR: PISTÓN FUNDIDO ATHENA 2 TIEMPOS Ø 53,94 MM + KIT JUNTAS PARTE SUPERIOR MC 125 2021-2023;622;ATEN;KP+JA;71,33087934;176,1436;8053300717590;;;;1;0;1;87141010;ATHENA;;KITS PISTÓN;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;P4C0540077020B;KIT PISTONES PARTE SUPERIOR: PISTÓN FUNDIDO ATHENA 2 TIEMPOS Ø 53,95 MM + KIT JUNTAS PARTE SUPERIOR MC 125 2021-2023;622;ATEN;KP+JA;71,33087934;176,1436;8053300717606;;;;1;0;1;87141010;ATHENA;;KITS PISTÓN;
