REF MADRE;EAN PRODUCT;NOMBRE (SIN TALLA);MARCA;PVP S/IVA;ID IVA;PRODUCT CATEGORIA;CATEGORIAS;CARACTERISTICAS;GAMA;TIPO PRODUCT;PRODUCT;META-DESCRIPCION;URL IMGs;DESCRIPCION LARGA;ANCHURA;ALTURA;PROFUNDIDAD;PESO;ID DISPONIBILIDAD;ACTIVO;DISP. PEDIDOS;TEMPORADA;TALLAS;GENERO;EDAD;COLOR;REF COMBI;EAN COMBI;NOMBRE COMBI:TIPO;;REF;NOMBRE;PROVEEDOR;FAMILIA;SUBFAMILIA;P.COMPRA;PVP S/IVA;EAN;ALT 1;ALT 2;ALT 3;UNIDAD;LOTE;PESO;CODNC;LIBRE1=MARCA;LIBRE2=TEMPORADA;LIBRE3=PRODUCTO;LIBRE4=GAMA/MODELO
KSX5072;19010858;Radiador Izquierdo KSX GAS GAS EC 250 2021-2023;KSX;131,164;20;Radiador;Radiadores;;;recambio;Radiador;Compra Recambios De Cross Y Enduro En Mx Zambrana 131,164 Al Mejor Precio;https://mxzambrana.com/img-tmp/19010858.jpg;Radiator</br></br><li>Economical alternative to the original radiator</li><li>Same dimensions as OEM</li></br></br>;16,5;11,6;39,5;2;2;1;1;;;;;;;;;;KSX5072;RADIADOR IZQUIERDO KSX GAS GAS EC 250 2021-2023;676;KSX;;64,9;131,164;19010858;19010858;1901-0858;;1;0;2;87089135;KSX;;RADIADOR;
KSX4042;19010859;Radiador Izquierdo KSX YAMAHA WR 250 F 2020-2024;KSX;131,164;20;Radiador;Radiadores;;;recambio;Radiador;Compra Recambios De Cross Y Enduro En Mx Zambrana 131,164 Al Mejor Precio;https://mxzambrana.com/img-tmp/19010859.jpg;Radiator</br></br><li>Economical alternative to the original radiator</li><li>Same dimensions as OEM</li></br></br>;17;14;36,5;2;2;1;1;;;;;;;;;;KSX4042;RADIADOR IZQUIERDO KSX YAMAHA WR 250 F 2020-2024;676;KSX;;64,9;131,164;19010859;19010859;1901-0859;;1;0;2;87089135;KSX;;RADIADOR;
KSX4041;19010860;Radiador Derecho KSX YAMAHA YZ 250 F 2019-2023;KSX;131,164;20;Radiador;Radiadores;;;recambio;Radiador;Compra Recambios De Cross Y Enduro En Mx Zambrana 131,164 Al Mejor Precio;https://mxzambrana.com/img-tmp/19010860.jpg;Radiator</br></br><li>Economical alternative to the original radiator</li><li>Same dimensions as OEM</li></br></br>;16,5;13,8;36;2;2;1;1;;;;;;;;;;KSX4041;RADIADOR DERECHO KSX YAMAHA YZ 250 F 2019-2023;676;KSX;;64,9;131,164;19010860;19010860;1901-0860;;1;0;2;87089135;KSX;;RADIADOR;
KSX1051;19010861;Radiador Derecho KSX HONDA CRF 250 R 2018-2019;KSX;131,164;20;Radiador;Radiadores;;;recambio;Radiador;Compra Recambios De Cross Y Enduro En Mx Zambrana 131,164 Al Mejor Precio;0;Replacement OEM Radiator</br></br><li>Compatible with Moose Racing radiator guards and braces</li><li>Easy mounting and perfect fitting, no modification required</li><li>Same dimensions as OEM</li><li>Includes radiator cap</li></br></br>;21,8;21,5;35,2;2;2;1;1;;;;;;;;;;KSX1051;RADIADOR DERECHO KSX HONDA CRF 250 R 2018-2019;676;KSX;;51,92;131,164;19010861;19010861;1901-0861;;1;0;2;87089135;KSX;;RADIADOR;
KSX1061;1901-0862;Radiador Derecho KSX HONDA CRF 250 R 2020-2021;KSX;131,164;20;Radiador;Radiadores;;;recambio;Radiador;Compra Recambios De Cross Y Enduro En Mx Zambrana 131,164 Al Mejor Precio;0;Replacement OEM Radiator</br></br><li>Compatible with Moose Racing radiator guards and braces</li><li>Easy mounting and perfect fitting, no modification required</li><li>Same dimensions as OEM</li><li>Includes radiator cap</li></br></br>;22,5;22,5;35;2;2;1;1;;;;;;;;;;KSX1061;RADIADOR DERECHO KSX HONDA CRF 250 R 2020-2021;676;KSX;;64,9;131,164;1901-0862;19010862;1901-0862;;1;0;2;87089135;KSX;;RADIADOR;
KSX1071;19010863;Radiador Derecho KSX HONDA CRF 450 R 2015-2016;KSX;131,164;20;Radiador;Radiadores;;;recambio;Radiador;Compra Recambios De Cross Y Enduro En Mx Zambrana 131,164 Al Mejor Precio;0;Replacement OEM Radiator</br></br><li>Compatible with Moose Racing radiator guards and braces</li><li>Easy mounting and perfect fitting, no modification required</li><li>Same dimensions as OEM</li><li>Includes radiator cap</li></br></br>;22,5;22,5;35,2;2;2;1;1;;;;;;;;;;KSX1071;RADIADOR DERECHO KSX HONDA CRF 450 R 2015-2016;676;KSX;;64,9;131,164;19010863;19010863;1901-0863;;1;0;2;87089135;KSX;;RADIADOR;
KSX1081;19010864;Radiador Derecho KSX HONDA CRF 450 R 2017-2020;KSX;131,164;20;Radiador;Radiadores;;;recambio;Radiador;Compra Recambios De Cross Y Enduro En Mx Zambrana 131,164 Al Mejor Precio;0;Replacement OEM Radiator</br></br><li>Compatible with Moose Racing radiator guards and braces</li><li>Easy mounting and perfect fitting, no modification required</li><li>Same dimensions as OEM</li><li>Includes radiator cap</li></br></br>;22,5;22,5;35;2;2;1;1;;;;;;;;;;KSX1081;RADIADOR DERECHO KSX HONDA CRF 450 R 2017-2020;676;KSX;;64,9;131,164;19010864;19010864;1901-0864;;1;0;2;87089135;KSX;;RADIADOR;
KSX1052;19010865;Radiador Izquierdo KSX HONDA CRF 250 R 2016-2017;KSX;131,164;20;Radiador;Radiadores;;;recambio;Radiador;Compra Recambios De Cross Y Enduro En Mx Zambrana 131,164 Al Mejor Precio;0;Replacement OEM Radiator</br></br><li>Compatible with Moose Racing radiator guards and braces</li><li>Easy mounting and perfect fitting, no modification required</li><li>Same dimensions as OEM</li><li>Includes radiator cap</li></br></br>;22,5;22,5;35,2;2;2;1;1;;;;;;;;;;KSX1052;RADIADOR IZQUIERDO KSX HONDA CRF 250 R 2016-2017;676;KSX;;64,9;131,164;19010865;19010865;1901-0865;;1;0;2;87089135;KSX;;RADIADOR;
KSX1062;19010866;Radiador Izquierdo KSX HONDA CRF 250 R 2018-2021;KSX;131,164;20;Radiador;Radiadores;;;recambio;Radiador;Compra Recambios De Cross Y Enduro En Mx Zambrana 131,164 Al Mejor Precio;0;Replacement OEM Radiator</br></br><li>Compatible with Moose Racing radiator guards and braces</li><li>Easy mounting and perfect fitting, no modification required</li><li>Same dimensions as OEM</li><li>Includes radiator cap</li></br></br>;22,5;21,3;35,5;2;2;1;1;;;;;;;;;;KSX1062;RADIADOR IZQUIERDO KSX HONDA CRF 250 R 2018-2021;676;KSX;;64,9;131,164;19010866;19010866;1901-0866;;1;0;2;87089135;KSX;;RADIADOR;
KSX1072;19010867;Radiador Izquierdo KSX HONDA CRF 450 R 2015-2016;KSX;131,164;20;Radiador;Radiadores;;;recambio;Radiador;Compra Recambios De Cross Y Enduro En Mx Zambrana 131,164 Al Mejor Precio;0;Replacement OEM Radiator</br></br><li>Compatible with Moose Racing radiator guards and braces</li><li>Easy mounting and perfect fitting, no modification required</li><li>Same dimensions as OEM</li><li>Includes radiator cap</li></br></br>;22,5;22,5;35;2;2;1;1;;;;;;;;;;KSX1072;RADIADOR IZQUIERDO KSX HONDA CRF 450 R 2015-2016;676;KSX;;64,9;131,164;19010867;19010867;1901-0867;;1;0;2;87089135;KSX;;RADIADOR;
